Code,Text
ARIN,IRIS uses themuch faster ASPEN algorithm to generate the schedule for thousands of commercial flights per day. IRIS also uses an attribute-based preference elicitation system to determine reward values for the Stackelberg game model. 
BPOP,The US Coast Guard s USCG mission includesmaritime security of the US coasts ports and inland waterways a security domain that faces increased risks due to threats such as terrorism and drug traffick 
ARIN,The goal of PROTECT is to use game theory to assist the USCG in maximizing its effectiveness in the Ports Waterways and Coastal Security PWCS Mission. 
TECH,To aid the TSA in scheduling resources to protect airports a new application called GUARDS Game-theoretic Unpredictable and Randomly Deployed Security has been developed 
ARIN,GUARDS created a new game-theoretic framework that allows for heterogeneous defender activities and compact modeling of a large number of threats and developed an efficient solution technique based on general-purpose Stackelberg game solvers 
TECH,Surveillance sensors such as ShotSpotter which can detect gunfire within 10 ft of a shot and determine the number of shooters to inform police response management. 
TECH,Gunfire detectors with sensors and cameras mounted on street light poles can also collect real time weather traffic and crime data. The street lighting system can be adjusted automatically for public safety concerns 
TECH,RTM is an analytical tool capable of identifying statistically significant features of the physical landscape or built environment and their interaction with each other in relation to an outcome incident e.g. gang homicide robbery carjacking etc. which contributes to risk-level of a place 
ARIN,The spatial operationalization of each risk factor is determined by the results of average nearest neighbor analyses. 
PRED,RTM is analytical approach to predict where crime or some other event will occur based upon the geographic location of risk factors. 
ARIN,The combination of the IoT and more advanced data analytic capabilities and tools including artificial intelligence AI and machine learning 
LACK,Furthermore strategic use of the IoT is still nascent in government across the globe 
BPGO,that smart government performance outcome will be largely fueled by developing and exploiting IoT-enabled dynamic capabilities to drive further and accelerate the process of digital transformation of public administration and governance. 
BPGO,in Table 1 is an extension of traditional e-government's core theme enhanced citizen participation and citizen services through the digitization of selfservices on the Web. 
BPGO,Above all the critical antecedent of smart governments is the gov ernment capability to deploy emerging digital technologies for ex ample Web 2.0 and the IoT for sensing changes in environments in which it operates sensing the needs of the public and the communities they serve and responding to these contingent demands and situations in an agile and governed manner 
TECH,Enhanced government problem solving capability through the use of integrative information technologies 
BPGO,to use sophisticated information technologies to interconnect and integrate information processes institutions and physical infrastructure to better serve citizens and communities Gil-Garcia 2012. 
TECH,deploy streetlights with embedded sensors that can detect sound or motion as well as can be programmed to switch on and off or raise dimmed lighting when vehicles or pedestrians pass 
TECH,governments would have the ability to use sensors and HD cameras to collect information about air quality electric power consumption public safety road conditions and emergency preparedness among many other policy domains 
PRED, IoT uses analytics to predict and control the future and comprises of sensor actuators communications connectivity data analytics and security and smart applications that can be delivered to web and mobile interfaces 
BPGO,In the complex IoT security domain IoT cybersecurity challenges have received a significant research attention including cybersecurity in manufacturing cyber-physical systems CPS Babiceanu Seker 2016 lack of comprehensive end-to-end standards fragmented cy bersecurity solutions in smart buildings Minoli Sohraby Occhiogrosso 2017 cybersecurity and privacy in smart homes Lin Bergmann 2016 cybersecurity in marketing Ng Wakenshaw 2017 and cybersecurity of complex cyber-physical networks Wen Yu Yu L 2017. 
LACK,The Internet of Things Vulnerability Index ranks United States as the 14th most exposed economy per unit of GDP against the IoT cybersecurity threats Deloitte Japan 2016. 
LACK,DoD officials and documents have identified various security risks with IoT devices. These risks start with how IoT devices are designed manufactured and configured. According to DoD officials at the present time there is either little or no incentive for manufactures to design security functions within the software of their products hence leaving room for security breaches. 
BPOP,This legislation mandates that IoT vendors serving the federal government offer IoT products which are patchable and use standard protocols for stipulating that they neither use hardcoded passwords nor ship with known security vulnerabilities. In addition the legislation further stipulates that vendors need to provide long term patching and security support for the IoT devices. 
BPOP,The FTC suggests that security should be built into device design which the GAO provided similar recommendations. Vendors should be capable of maintaining reasonable security and patches as well as offering upgrades to reduce vulnerabilities Latta Welch 2016. 
BPGO,These government activities present evidence that the state of IoT cybersecurity awareness at the federal government level is visible and actively working towards creating an IoT cybersecurity policy en vironment for safe and dependable IoT deployment both in the public sector and the private sector. 
BPGO,energy many other federal agencies are adopting the use of IoT in defense to support their missions. For example the DoD is using the IoT more efficiently to manage how it tracks military goods such as clothing construction materials and medical supplies Castro et al. 2016. 
TECH,This means that military IoT deployments are designed to accommodate the specific operational needs for the different branches of the U.S. military and allows these military bases to collect data using a wide variety of connected technologies Castro et al. 2016. These different connected technologies range from cameras infrared sensors drones surveillance satellites and soldiers in the field Castro et al. 2016. 
PREV,it is important to make the strategy to prevent the potential possibility of the attacks on the civilian areas. Like the other kinds of the terrorism the prevention planning of radiological hazard materials is not easy to manage in the common places. 
METH,In the study the position mapping using the global posi tioning system GPS is imported where the radiation detection and camera vision give the operator the importation of the radioac tive material in the commercialized facilities such as the buildings and airplanes. 
BPGO,this information can be transferred to any department of the government in the speed of the nearly real-time. So the much optimized decision could be reached by the security agents. 
METH,Monte-Carlo simulation is performed for the designed scenarios which is reasonable to make the conceptual evaluations. 
TECH,The highly developed technology could be utilized for the difficult situations such as a nuclear terrorism where the drone could be applied for the enhanced surveillance systems. 
PREV,Nuclear terrorism could be prohibited by the drone s method. The anti-terrorism could be accomplished by this highly intelligent robotics technology. 
BPGO,This DSS called the Predictive Police Patrolling DSS P3-DSS has been developed in collaborationwith the Spanish Nation al Police Corps SNPC. 
PRED,This DSS provides predictive policing capabilities for forecasting the distribution of crime risk in a territory as well as an optimization system that exploits this information to distribute agents in the best possible way according to the preferences of the decision maker 
PRED,In this model the police deployment adapts dynamically to changing crime patterns making criminals modify to a certain degree their awareness and their criminal actions 
BPGO,Reduction of the cost of operations and increase of citizen safety and officer morale. 
TECH,San Francisco Police Department Computer Aided CAD System 
METH,We assessed the quality of the CRFU forecasts by computing the forecasting Mean Square Error MSE 
ARIN,For crime pattern discovery we propose a hybrid FSOM model which combines the features of SOM networks and fuzzy logic in dealing with clustering visualization and linguistic information processing. 
TECH,a rule extraction algorithm is employed to uncover hidden causal-effect knowledge and reveal the shift around effect 
PRED,An intelligent decision-support model using FSOM and rule extraction for crime prevention 
BPGO,During the process of knowledge discovery we use the FSOM neural network to uncover crime patterns from data of the crime volume in Taiwan provided by the NPA 
BPGO,presents an urban infrastructure safety monitoring system known as Urban Safety which makes urban infrastructure damage information collection possible for public participants and allows monitoring and emergency evaluation in the field of disaster prevention and mitigation 
TECH,The app acts as a sensor to collect urban data such as structural acceleration structural deformation questionnaires and images and implements disaster emergency communications without the use of a network. 
FEAS,a series of shaking table experiments has been used to monitor the vibration displacement 
PRED,and allows monitoring and emergency evaluation in the field of disaster prevention and mitigation 
TECH,This paper presents results of capturing and exploring data on pedestrian movement with CV tracking technology from a pilot study we conducted in the summer of 2013 in the urban plaza Kultorvet in central Copenhagen. 
ARIN,Computer Vision algorithms can be applied on video from both normal RGB cameras and thermal cameras. In terms of performance of CV algorithms there are advantages and disadvantages in both technologies that need to be considered. 
PRED,In this research a combination of spatial clustering methods and artificial neural network models was used in order to predict the high crime risk transportation areas 
TECH,Geographic information systems were used to perform spatial analysis so as to identify the regions with a high concentration of crime incidents. Artificial intelligence was used in this study in order to build artificial neural network predictive models. 
ARIN,Hotspot analysis was used as a spatial clustering technique in order to find the most statistical significant areas with increased number of crime incidents and also proximity analysis was utilized to locate the nearest most dangerous bus stops and rail stations in the urban study area. 
BPGO,the constructed model was tested by using the test data of the dataset for the last week of January 2013 in Chicago city. The results showed very precise prediction accuracy. 
PRED,to propose a new framework by defining the useful patterns of suicide attacks to analyze the terrorist activity patterns and relations to understand behaviors and their future moves and finally to prevent potential terrorist attacks. 
ARIN,feature selection and similarity function are first proposed as a framework to find relations that will help construct a network for events 
PRED,It is an early attempt to identify meaningful patterns in suicide attacks using network models. More specifically a new Evolution Stimulating Annealing Lasso least absolute shrinkage and selection operator Logistic Regression ESALLOR is proposed to define the best features for similarity function and to find the important key features e.g. how important the features are shown for successful and interactive terrorist events. 
LACK,Weapon type kidnapping ishostkid at- tack type attacktype and extension of attack extended are very significant for terrorists become successful. Other features became nearly zero due to the fact that the ESALLOR model was used. The government needs to control these features to prevent successful attacks. 
TECH,Also the related data mining techniques are presented to show the effective tool for crime types by uncovering hidden patterns for investigation and preventing crime and violence by both government and private institutions 
IDEN,Automated video surveillance systems constitute a network of video sensors observing people as well as other moving and interacting objects in a given environment for patterns of normal abnormal activities interesting events and other domainspecific goals. 
ARIN,Moreover the image understanding module represent the master piece of the IVSS it includes all AI techniques to figure out the meaning of the scene. 
ASSES,Given a set of training examples each marked as belonging to one of two categories an SVM training algorithm builds a model that assigns new examples into one category or the other. An 
FEAS,Feature extraction and classification even if investigations last more than 2 decades now remain a big challenge. 
TECH,The topic of the paper is how to adapt current video surveillance systems along highway and streets to semi-automatic surveillance systems. When a suspicious event is detected a human operator in the control room has to be alerted to take appropriate actions. 
TECH,The goal of this task is to recognize particular visual events of people. Ten types of events were specified. 
TECH,We proposed the application of a combined Neocognitron type of neural network classifier in generic car license plate recognition CLPR system. The suggested system contains an image-processor a segment-processor and five combined Neocognitron network classifiers which act as a character recognizer. 
TECH,The foreground background discriminator FG BG labels each pixel as either foreground or background. The next module in the pipeline is the Blob Entering Detection module. It makes use of the result FG BG mask of FG BG Detection in order to detect a new blob object that has entered a scene on each frame. 
TECH,we adapted a tool called Predator Kalal et al. 2010 also known as OpenTLD. The software tool Predator uses a new technique called P-N learning. 
ARIN,For human classification a Support Vector Machine SVM was used in conjunction with an algorithm called Histogram Oriented Gradients 
PRED,we have shown a terrorist group prediction model TGPM to predict the terrorist group involved in a given attack 
ARIN,We have developed a terrorist group prediction model TGPM which learns the pattern of terrorist attacks from the available historical data and make an association between terrorist group and previous attacks 
ASSES,By monitoring potential terrorists security agencies are able to detect and stop terrorist plots at their planning stage. 
TECH,we build a novel Stackelberg game model TPD where the leader defender chooses vertices of a terrorist network to monitor while the follower terrorist planner arouses a connected subgraph of the net work to launch a coordinated attack. 
ARIN,i Random trees RT where every new vertex is attached to a randomly picked incumbent 
ARIN,Barab´asi-Albert scale-free networks BAk where each new vertex is connected to incum k bents using a preferential attachment mechanism 
ARIN,We propose a transductive clustering method to find the cluster of COPs that maximizes the classification accuracy 
ASSES,We have proposed transductive clustering and analyzed the relationship between bag-snatching and spatial attributes in the Fushimi-ku area of Kyoto City. 
PRED,This enables us to build a simple city-specific predictor based on past attack data and we show both the information theoretic uncertainty and information loss in attempting to predict the underlying terrorism process 
ARIN,we use spectrogram analysis to further show that there is a growing uncertainty hidden in the complex process. 
ASSES,By analyzing geo-tagged terrorism and unconventional conflict data from the Global Terrorism Database GTD the results show that the vast majority of conflict incidents occur in close proximity to an urban area with a mean distance of 27km. 
ARIN,Spectral analysis has the potential to observe the different frequency components of attacks and how they shift with time 
TECH,we design an approach that is able to account for the variations in firearm generated recoil as recorded by a wrist worn accelerometer and helps categorize the impulse forces. 
ARIN,To infer individual firearm we build three classifier model with Decision Tree DT classifier for each of the categories 
ARIN,We use SVM based approach to recognize whether a firearm is autoloaded or manual 
ASSES,Examining how these sensors can be used to extend HAR with mobile devices for detecting gunshots is the focus of this study. 
TECH,The ShotMaxx timer developed by Double AlphaAcademy also works with their mobile application and provides mobile data fusion with sound and accelerometers for gunshot detection 
ARIN,the proposed system focuses on examining mobile sensors for extending HAR into gunshot detection with a Nave Bayes classifier 
ASSES,We propose algorithms that are able to alert the human operator when a firearm or knife is visible in the image 
ARIN,We designed the knife detection algorithm based on visual descriptors and machine learning. 
ARIN,The 560-value vector is fed into a three-layer neural network NN. The NN was constructed using 560 neurons in the input layer 200 neurons in the hidden layer and nine neurons in the output layer. 
TECH,the task of automated detection and recognition of dangerous situations for CCTV systems 
TECH,Thus the particle image velocimetry PIV method based on the cross-correlation algorithm is used to analyze the dynamic of crowd in the ticket hall. Actually the PIV algorithm is non-intrusive and does not require high resolution and contrast video which also contributes to the application of this method 
TECH,An image processing method which can extract the velocity of dense crowd movement from recorded videos was applied to video analysis of Kunming 3.1 Attack Event in China. 
TECH,drone empowered small cellular networks DSCNs are key enablers towards the deployment of resilient communication networks for smart cities 
TECH,Borrowing tools from stochastic geometry 
ARIN,In order to improve the accuracy of the result of the static pose recognition a deep learning model was utilized to detect an object in real-time and this is termed as a YOLO network that detects and discriminates human subjects in a video. 
ASSES,an autonomous method is proposed to detect abnormal human behavior this method is applicable to smart surveillance monitor systems. 
ARIN,a real time object entity detection system which a deep learning-based object detector is integrated with a Kalman-filter-based object entity estimatoris utilized 
BPGO,The success of the concept proof of term network applied to crime news has led to the deployment of the term network approach in Criminal intelligence Center National Police Agency in Taiwan for use by crime investigators 
ASSES,by presenting an integrated term-relationship mining method and proposing evidence-based exploration for term network applied to crime investigation. 
TECH,combining association analysis and information retrieval technology such term networks can be analyzed with evidence at hand without sacrificing efficiency 
ARIN,3D CNN architecture that generates multiple channels of information from adjacent video frames and performs convolution and subsampling separately in each channel. 
ASSES,We developed a 3D CNN model for action recognition in this paper. This model construct features from both spatial and temporal dimensions by performing 3D convolutions. 
PRED,One common solution is to learn normal event regularities from training normal videos and treat abnormal events as ones which are distinct from these regularities. 
METH,For example tracking is usually employed to analyze moving objects. Trajectory-based features are simple and have high-level semantics. However these methods are limited by the factors of shadows and occlusions in crowded scenes. 
METH,extract features of motion size and texture from non-overlapping cells of video sequences. In Ref. the histogram of gradient HoG and the histogram of optical flow HOF are calculated at spatio-temporal interest points. 
ARIN,In many computer vision applications deep learning has shown impressive performance such as image segmentation. 
ARIN,appearance motion and their joint representations are learned with three stacked denoising autoencoders. Then anomaly scores are predicted by three one-class support vector machines SVMs on these learned features respectively. Finally detection results are fused with an automatically learned weight vector. 
ARIN,represent appearance and motion features with salience maps and multi-scale HOFs to detect abnormal events. 
METH,In this paper a different deep model is designed for abnormal event detection. Firstly 3D gradient features are computed to describe video events due to their simplicity and effectiveness. Specifically the gradients at horizontal and vertical directions represent the appearance features. Meanwhile motion characters are described by gradients at the temporal direction. Subsequently a PCANet is trained to generate high-level descriptors from these 3D gradient features. In order to model normal video events the Gaussian mixture model GMM is generally used to learn normal event patterns 
METH,In order to deal with this problem this paper develops a deep GMM method to explore video event patterns. The deep GMM method is provided with high representation power while having relatively few parameters. 
METH,Firstly 3D gradients are calculated for each video frame. Secondly high-level features for video events are automatically extracted with the PCANet. Finally normal event patters are modeled by the deep GMM. 
ARIN,Based on these 3D gradients this paper utilizes a deep neural network to abstract high-level features. In recent years deep learning has achieved impressive performance in many computer vision appli- cations. This is benefited from the multi-layer non-linear transformations which can adaptively extract meaningful and discri- minative features. 
ARIN,this paper learns video event features by the PCANet which is a simple and effective unsupervised deep learning approach. 
ARIN,GMMs are used to learn normal event patterns. However massive Gaussian components are required to model the complex video events. As a result complexities of these methods increase drastically. 
METH,The competitors include MDT. Some visualized comparisons are shown in Fig. 2 in which red masks indicate the locations of abnormal events. 
ASSES,The anomalies include a car a skater two bikers a runner and two people walking through the grass. In Fig. 2 the top row is the ground-truth the second row is given by the MDT algorithm it misses the runner column c and a person on the grass column c. Although the proposed algorithm loses one person walking on the grass the overall performance is better than the others. With regard to the frame-level and pixel-level measurements Fig. 3 shows ROC curves of the competitors. Fig. 3a is the frame-level performance and Fig. 3b is the pixel-level performance. It can be found that for the frame-level ROC the proposed algorithm performs better than others except for the SRC algorithm when the false positive rate is high. For the pixel-level ROC the proposed algorithm outper- forms all these competitors. Based on the ROC curves EER EDR and AUC values are listed in Tables 1 2. 
METH,Our focus is on mining information which is publicly available open-source intelligence. Web 2.0 and Social Media platforms contain content belonging to various modalities like image audio video and text. 
ARIN,We restrict our analysis on the application of machine learning and information retrieval techniques on free-form textual data and not sound image and video data present in social media platforms. 
ARIN,illustrate the machine learning and information retrieval techniques used in previous pa- pers of civil unrest event prediction and online radi- calization respectively. 
METH,proposed five different tech- niques for event forecasting for five different kinds of data and models volume based opinion based track- ing of activities distribution of events and cause of protest. 
ARIN,we find that most of the researchers have applied ensemble learning on multiple data mining and machine learn- ing techniques to achieve better accuracy in prediction 
ARIN,Clustering Logistic Regression and Dynamic Query Expansion are the commonly used techniques to pre- dict upcoming events related to civil unrest or protest. 
ARIN,Dynamic Query Expansion is an iter- ative process and converges once the keywords are stable. They further perform several clustering and classification techniques on these entities and text to predict upcoming events. 
METH,Another popular technique used for event forecasting is graph modeling. Feng Chen et.al. a het- erogeneous graph is defined as a network consisting of nodes edges and relations where nodes are the enti- ties extracted using named entity recognition. There can be multiple types of nodes equivalent to number of entities extracted topic temporal spatial organi- zation etc. Edges are the link between two entities and relation defines the feature vector between two entities. 
ARIN,we present machine learn- ing technique over a timeline instead of individual pre- sentation for each paper. Figure 10 reveals that text classification KNN Naive Bayes Support Vector Ma- chine Rule Based Classifier Decision Tree Cluster- ing Blog Spider Exploratory Data Analysis EDA Topical Crawler Link Analysis Breadth First Search Depth First Search Best First Search and Keyword Based Flagging KBF are the most widely used tech- niques for online radicalization detection on social me- dia websites 
ARIN,Text classification automatic and semi-supervised learning clustering unsupervised learning EDA and KBF ap- proaches are very well known techniques and com- monly used for identifying extremist content on so- cial media 
METH,Topical crawler and Link analysis are the techniques used for crawling through navigation links and identifying similar users and lo- cating hidden communities on social media websites. The topical crawler is a recursive process that adds and removes nodes after each iteration. It starts from a seed node traverses in a graph navigating through some links and returns all relevant nodes to a given topic. Breadth First Search Depth First Search and Best First Search are different ways to pick neigh- bors and navigate through external links. These links and neighbors are different for different social network- ing websites. 
ARIN,Language modeling n-gram Boosting are other techniques for classifying textual data as hate pro- moting based upon several discriminatory features uses TREC algorithm to perform sentiment analysis of comments posted on extremist videos on YouTube. 
TECH ,OSLOM Order Statistics Local Optimization Method is a clustering algorithm designed for graphs and net- works which has been used by some researchers to locate groups and communities of extremist users shar- ing a common agenda. OSLOM is an open source visu- alization tool capable to detect hidden communities in a network accounting for edge directions edge weights overlapping communities hierarchies and community dynamics. OSLOM locally optimize the clus- ters and consists of following three phases: 1 Iterative process to identify significant clusters of nodes 2 Analyzing resultant clusters and identification of internal structure and overlapping clusters if pos- sible 3 Identification of hierarchical structure of clusters. 
ARIN,Our analysis reveals a variety of information retrieval and machine-learning based methods and techniques used by researchers to investigate solutions for civil unrest and online radicalization detection. Clustering Logistic Regression and Dynamic Query Expansion are the commonly used techniques to predict upcom- ing events related to civil unrest or protest. We ob- serve that Named Entity Recognition NER is a com- mon component in the text processing pipeline for various proposed approaches and techniques. Graph modeling is also a technique adopted by several re- searchers for the problem of event forecasting. Our survey reveals that KNN K Nearest Neighbor Naive Bayes Support Vector Machine Rule Based Classier Decision Tree Clustering Blog Spider Exploratory Data Analysis EDA Topical Crawler Link Analysis Breadth First Search Depth First Search Best First Search and Keyword Based Flagging KBF are the most widely used techniques for online radicalization detection on social media websites. 
PRED,Crime classification is one of the components in crime pre- vention. In this study we proposed a hybrid crime classification model by combining Artificial Neural Network ANN and Artificial Bee Colony ABC algorithm codename ANN-ABC. The idea is by using ABC as a learning mechanism for ANN to overcome the ANN s local optima problem thus produce more significant results. The ANN-ABC is applied to Communities and Crime dataset to predict Crime Categories. 
METH,The main concern of crime forecasting is to study the crime patterns to analyzing the modus operandi of serial criminals and to allocate useful resources for tactical purpose in the places where there are lots of crimes. 
METH,Classification is one of the data mining technique which been use to analyze crime patterns. The data mining approach can help to detect the crimes pat- terns and speed up the process of solving crime 
ARIN,The artificial neural networks ANN is most popular computational model and usually use as a benchmark model for any classifier. Learning algorithm is an important aspect that can influence ANN model in producing better results. However BP has some limitations. 
METH,To improve the accuracy and the convergence rate of BP algorithm a new hybrid model called as ANN-ABC is proposed. The goal of the hybridization of artificial bee colony ABC and back-propagation algorithm is to optimize the ANN training by avoiding the local minima solution. 
ASSES,To validate the performance of the proposed hybrid model ANN-ABC will be tested on crime classification problem with dataset obtained from UCI machine learning repository 
ARIN,Artificial Bee Colony ABC algorithm consists of three groups of bees which are employed bees onlooker bees and scouts bees. Employed bees go to the food sources and come back to hive and dance on this area. Onlookers bees watch the dances and choose food sources depending on the dances. The employed bee whose food sources has been abandoned becomes scout and starts searching a new food source. 
FEAS,The result show that ANN-ABC have correctly classified 86.48 of the dataset outperformed other. ANN itself score 83.49 decision tree score 83.95 and Naive Bayes score 70.81. Moreover ANN-ABC reduced the amount of incorrectly classified and this shows that ANN-ABC has improved in term of accuracy compared with others. 
FEAS,The result for pre- cision shows that ANN-ABC outperforms the other algorithms with 86.48. Meanwhile decision tree is the second algorithm with 83.50 followed by ANN with 83.49. The last algorithm is Naive Bayes with 66.40. ANN-ABC shows 8.6 of improvement over other algorithms for precision. Result for recall performance measurement shows that ANN-ABC outper- forms other with 86.60. The second algorithm is decision tree with 84. The third algorithm is Naive Bayes followed by ANN both with 70.80 and 69.34 respectively. Result for recall indicates that ANN-ABC 11.9 improvement over other algorithms. From F-measure results ANN-ABC is the best classification algorithms for crime classification with 86.53. The second best algorithm is decision tree with 82.6 followed by ANN with 72.09 and Naive Bayes produces the worst per- formance with 67.5. This result indicate 12.5 improvement of ANN-ABC in term of F-measure performance measurement. 
METH,Anomaly detection has been surveyed and reviewed in number of articles as well as books highlighting various techniques methods clas- sification clustering nearest neighbor statistical Hodge and Austin 2004 information theoretic and spectral-based techniques to perform the detection more effectively under different constraints and also various applications such as cyber intrusion detection Synder 2001 fraud detection Chen and Gangopadhyay 2016 medical anomaly de- tection industrial damage detection image processing textual anomaly detection Gorai et al. 2016 sensors networks. 
METH,A Reliable and Intelligent Abnormal Behavior Surveillance Systems are the need of the hour to mitigate the effects of abnormal unde- sired activities in public place health-care organizations and smart homes and other security threats. 
METH,it is notified that graphical models i.e. dy- namic Bayes net propagation nets Petri nets syntactic i.e. context- free grammars attribute grammar and stochastic CFG and knowledge- based approaches i.e. ontologies logic rules constraint satisfaction are preferred to model complex scenes the inherent structure and semantics of complex activities and provide higher level representation for activity recognition. 
METH,One of the major application of Single Person AbHAR is in Ambient Assistance Living AAL home monitoring where a single person is under surveillance for abnormal activity recognition. 
ARIN,that LOTAR framework offers a stronger feature representation platform for AAL application which analyzes both short term and long term anomalies by collecting data from multiple sensors i.e. temperature pressure RFID sensors along with vision sensors. For experimentation the framework is employed in the real patient home which needs to be extended to multi- ple individuals for realistic results. 
METH ARIN,Robustness of any AbHAR method depends on how efficiently action evidence in an image are extracted as a feature. R-Transform has been used frequently Khan and Sohn 2013 2011 to target elderly health care issues and providing a highly practical solution to it. Khan and Sohn 2011 took into account six possible unusual activities i faint ii backward fall iii forward fall iv vomit v chest pain and vi a headache see Fig. 5. It integrated R-Transform with Kernel Discriminant Analysis KDA to minimize interclass similarity of different activity postures as binary silhouette maintaining individual s privacy. 
METH ARIN,designed a two-level hierarchical anomalous human activity recognition system to increase the recognition rate for intra-class activities particularly for falling forward-vomiting postures and falling backward-fainting postures. The first level performs KDA on the R-Transform of binary silhouettes. In the second level a k-mean clustering algorithm is applied to make groups of similar postures and four state HMM classifier in training and recognition of the activities 
ARIN,developed a LOTAR framework which is a hybrid behavior analysis system integrated with knowledge-based and data mining based machine learning techniques. It acquires data from non-intrusive sensors set up in the patient s home preserving the individual s privacy and fine-grained process statistics vital for long- term abnormal behavior recognition. 
METH,It has been seen that spa- tiotemporal representation is used abundantly to describe the actions in a video sequence for normal abnormal human action recognition utilised spatiotemporal contextual details for anomaly detection and localization from captured video volumes. 
ARIN,An unsupervised statistical learning structure is developed which excavates global activity patterns and local salient behavior patterns using clustering and sparse coding respectively along with multiple scale analysis to detect and localize the anomalous region efficiently. However during this process codebook and dictionary learning al- gorithm must update them for new input videos to cater a practical solution in real-time applications. 
METH,Phase Spectrum of Quaternion Fourier Transform PQFT Guo et al. 2008 is identified as a potential solution for the spatiotemporal Salience Detection in videos frames. It has been demonstrated experimentally that PQFT works with less computational complexity being robust to noise and faster than existing methods i.e. spectral Residue SR Phase Spectrum of Fourier Transform PFT Neuromorphic Vision Toolbox NVT and Saliency Toolbox SBT. Addition of motion cue with PQFT further strengthens the represen- tation of spatiotemporal saliency in videos in the presence of white- colored noise. However if the noise is similar to salient object the approach fails to detect the saliency. PQFT cannot detect the closure patterns of the image which humans can identify very quickly in an image. 
FEAS,the work needs to be evaluated with more complex and real- life environment to provide the solution for real-life applications. 
FEAS,Nowadays the existing methods classification based clustering based and statistical methods for abnormal human behavior detection are facing the challenge of making the system independent of human arbitrations. 
METH,utilised intelligent space for understanding and user service ISUS for abnormal habit recognition problem for the first time with multi- camera positioning algorithm to locate the person using the concept of distribution of time spent at different duration histogram of key points in the intelligent system under surveillance for the entire day that makes the habit recognition task simpler. 
FEAS,However the application of this model is limited to ISUS environment to monitor the habit of the elder people which may not be under affordable range of an individual. 
METH,Multiple Persons AbHAR is a generalized case of Crowd Activity analysis which are used interchangeably in this review. It is a novel area of interest in computer vision which will potentially advance to new application domain such as automatic detection of riots or chaotic acts in crowd and localization of the abnormal areas in scenes for high resolution investigation. Occlusions and ambiguities in crowded scenes with complex activities and scene semantics are some of the challenges needs to be addressed for crowd activity analysis. 
ARIN,There are two approaches to analyze the crowd activity 1 identify group activity patterns abnormal activity localization Antic and Ommer 2015 Fagette et al. 2014 2 represent an individual s behavior in the crowd i.e. trajectory- based approach Chathuramali et al. 2014 and shape dynamics based approach 
